Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
H_Pump_Run_Status,01020,Boolean,1,RO,100,,,,,,,,,,H Pump Run Status,
Transfer_Pump_Hand_Switch,01030,Boolean,1,RO,100,,,,,,,,,,Transfer Pump Hand Switch,
Transfer_Pump_Auto_Switch,01031,Boolean,1,RO,100,,,,,,,,,,Transfer Pump Auto Switch,
Transfer_Pump_Run_Status,01032,Boolean,1,RO,100,,,,,,,,,,Transfer Pump Run Status,
Transfer_Pump_HI_DIS_Alrm,01033,Boolean,1,RO,100,,,,,,,,,,Transfer Pump HI DIS Alrm,
Transfer_Pump_Lo_Dis_Psi_Alrm,01034,Boolean,1,RO,100,,,,,,,,,,Transfer Pump LOW DIS Psi Alrm,
Transfer_Pump_HI_DIS_PSI_SP,40237,Float,1,RW,100,,,,,,,,,,Transfer Pump HI DIS PSI SP,
Transfer_Pump_LOW_DIS_PSI_SP,40239,Float,1,RW,100,,,,,,,,,,Transfer Pump LOW DIS PSI SP,
Transfer_Pump_Start_Up_SP,40417,Float,1,RW,100,,,,,,,,,,Transfer Pump Start Up SP,
Transfer_Pump_Shut_Down_SP,40427,Float,1,RW,100,,,,,,,,,,Transfer Pump Shut Down SP,
Transfer_Pump_Discharge_PSI,40127,Float,1,RO,100,,,,,,,,,,Transfer Pump Discharge PSI,
Transfer_Pump_Flow_Rate,40319,Float,1,RO,100,,,,,,,,,,Transfer Pump Flow Rate,
Transfer_Pump_C-Day_Flow_Rate,40321,Float,1,RO,100,,,,,,,,,,Transfer Pump C-Day Flow Rate,
Transfer_Pump_P-Day_Flow_Rate,40323,Float,1,RO,100,,,,,,,,,,Transfer Pump P-Day Flow Rate,
Transfer_Pump_C-Mth_Flow_Rate,40325,Float,1,RO,100,,,,,,,,,,Transfer Pump C-Mth Flow Rate,
Transfer_Pump_P-Mth_Flow_Rate,40327,Float,1,RO,100,,,,,,,,,,Transfer Pump P-Mth Flow Rate,
